R,Team,Left Side,Middle of the pitch,Right Side
1,Rennes,46%,19%,35%
2,Caen,41%,24%,35%
3,Lorient,39%,25%,37%
4,Bordeaux,39%,20%,41%
5,Guingamp,39%,23%,39%
6,Dijon,39%,23%,38%
7,Nantes,38%,23%,40%
8,Saint-Etienne,37%,25%,38%
9,Toulouse,37%,25%,38%
10,Lyon,37%,27%,36%
11,Paris Saint-Germain,37%,28%,35%
12,SC Bastia,37%,26%,38%
13,Angers,37%,27%,37%
14,Monaco,36%,24%,40%
15,Montpellier,36%,25%,39%
16,Nancy,35%,26%,40%
17,Metz,35%,22%,43%
18,Marseille,35%,22%,43%
19,Nice,35%,31%,34%
20,Lille,35%,27%,37%
