R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Deportivo La Coruna,11%,54%,36%
2,Barcelona,10%,57%,34%
3,Athletic Bilbao,9%,64%,28%
4,Celta Vigo,9%,54%,37%
5,Getafe,8%,54%,38%
6,Girona,8%,53%,38%
7,Real Madrid,7%,61%,32%
8,Real Betis,7%,50%,43%
9,Valencia,7%,51%,41%
10,Sevilla,7%,59%,35%
11,Real Sociedad,7%,54%,39%
12,Espanyol,7%,55%,38%
13,Leganes,7%,53%,40%
14,Eibar,7%,53%,40%
15,Malaga,5%,57%,37%
16,Atletico Madrid,5%,55%,40%
17,Deportivo Alaves,5%,53%,42%
18,Villarreal,5%,54%,41%
19,Levante,5%,54%,41%
20,Las Palmas,4%,49%,46%
