R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Atletico Madrid,18,1,64,442
2,Deportivo Alaves,21,1,70,437
3,Leganes,17,1,72,420
4,Levante,20,1,68,420
5,Malaga,19,1,70,419
6,Getafe,18,1,73,414
7,Deportivo La Coruna,20,1,67,404
8,Valencia,21,1,64,404
9,Espanyol,19,1,76,403
10,Villarreal,23,1,64,388
11,Girona,16,3,65,376
12,Athletic Bilbao,17,1,70,364
13,Sevilla,18,1,68,350
14,Celta Vigo,18,1,63,343
15,Real Madrid,14,1,59,339
16,Las Palmas,18,2,62,332
17,Real Betis,20,1,61,326
18,Real Sociedad,16,1,65,322
19,Eibar,13,2,79,321
20,Barcelona,14,2,57,315
