R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Celta Vigo,10%,59%,31%
2,Espanyol,9%,51%,40%
3,Malaga,9%,53%,38%
4,Villarreal,9%,53%,39%
5,Deportivo La Coruna,8%,53%,39%
6,Real Betis,8%,58%,34%
7,Las Palmas,8%,61%,31%
8,Levante,8%,57%,35%
9,Athletic Bilbao,7%,50%,43%
10,Deportivo Alaves,7%,56%,38%
11,Real Sociedad,7%,58%,35%
12,Leganes,7%,53%,40%
13,Eibar,7%,61%,32%
14,Real Madrid,6%,56%,38%
15,Sevilla,6%,55%,38%
16,Atletico Madrid,6%,50%,44%
17,Valencia,5%,52%,43%
18,Barcelona,5%,54%,41%
19,Girona,5%,55%,40%
20,Getafe,4%,56%,41%
