R,Team,Left Side,Attempts from the middle,Right Side
1,Bayern Munich,24%,54%,22%
2,Hannover 96,24%,52%,24%
3,Freiburg,22%,62%,17%
4,Nuernberg,22%,64%,15%
5,Bayer Leverkusen,21%,60%,19%
6,Werder Bremen,21%,61%,18%
7,Eintracht Frankfurt,21%,62%,17%
8,Wolfsburg,20%,62%,18%
9,VfB Stuttgart,20%,62%,19%
10,Augsburg,20%,63%,17%
11,Eintracht Braunschweig,20%,64%,16%
12,Mainz 05,20%,55%,24%
13,Schalke 04,19%,58%,23%
14,Hamburger SV,19%,62%,20%
15,Borussia M.Gladbach,19%,62%,19%
16,Borussia Dortmund,19%,63%,18%
17,Hoffenheim,18%,65%,17%
18,Hertha Berlin,17%,63%,20%
