R,Team,Own Third,Middle Third,Opposition Third
1,Nuernberg,31%,42%,27%
2,Borussia M.Gladbach,30%,45%,23%
3,Werder Bremen,30%,43%,27%
4,Freiburg,30%,42%,28%
5,Mainz 05,30%,44%,26%
6,Eintracht Braunschweig,30%,42%,28%
7,VfB Stuttgart,29%,44%,26%
8,Hannover 96,29%,43%,28%
9,Augsburg,29%,42%,28%
10,Bayer Leverkusen,28%,43%,29%
11,Hamburger SV,28%,44%,28%
12,Eintracht Frankfurt,28%,45%,26%
13,Wolfsburg,27%,44%,29%
14,Hoffenheim,27%,45%,28%
15,Schalke 04,26%,45%,28%
16,Hertha Berlin,26%,46%,27%
17,Borussia Dortmund,25%,43%,32%
18,Bayern Munich,23%,43%,35%
