R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Bayern Munich,19,2,81,652
2,Borussia M.Gladbach,9,2,80,497
3,Borussia Dortmund,16,2,67,439
4,Schalke 04,15,1,72,391
5,Bayer Leverkusen,19,2,63,378
6,Wolfsburg,18,1,79,374
7,Freiburg,12,1,67,370
8,Eintracht Frankfurt,20,1,76,370
9,Hamburger SV,19,1,68,357
10,Hoffenheim,14,1,69,356
11,VfB Stuttgart,17,1,75,354
12,Hannover 96,18,1,67,349
13,Nuernberg,18,1,67,343
14,Augsburg,20,1,80,342
15,Mainz 05,12,1,80,337
16,Hertha Berlin,16,1,73,331
17,Eintracht Braunschweig,17,1,63,287
18,Werder Bremen,16,1,67,284
