R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Hamburger SV,48,8,17,1,1
2,Werder Bremen,44,3,12,4,3
3,VfB Stuttgart,43,3,12,3,1
4,Eintracht Braunschweig,40,6,9,4,1
5,Freiburg,39,4,12,4,2
6,Hoffenheim,38,8,20,4,0
7,Eintracht Frankfurt,37,2,14,2,2
8,Nuernberg,36,8,19,4,3
9,Hannover 96,32,7,15,5,0
10,Wolfsburg,30,6,13,1,0
11,Mainz 05,30,8,11,5,0
12,Hertha Berlin,28,4,11,5,0
13,Borussia Dortmund,25,2,8,2,1
14,Borussia M.Gladbach,25,4,7,5,2
15,Schalke 04,24,2,11,5,1
16,Bayer Leverkusen,23,4,11,3,0
17,Augsburg,23,3,13,6,2
18,Bayern Munich,10,5,5,1,2
