Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Bayern Munich,18.7,6.1,1.1,11.5,7.42
2. Borussia Dortmund,18.1,6.6,0.9,10.6,7.23
3. Borussia M.Gladbach,12.6,5.2,0.5,7,7.09
4. Bayer Leverkusen,14.6,6.2,0.8,7.6,7.07
5. Schalke 04,14.1,5.7,1.1,7.4,7.06
6. Wolfsburg,15.4,6.8,1.1,7.5,7.05
7. Mainz 05,13.1,5.2,0.7,7.2,7.00
8. Hoffenheim,14.7,6.4,0.7,7.7,6.96
9. Hamburger SV,14.9,6.6,1.1,7.2,6.95
10. Werder Bremen,10.9,4.4,1,5.5,6.90
11. Hertha Berlin,11.3,4.5,0.6,6.2,6.89
12. Nuernberg,11.6,4.6,0.6,6.5,6.89
13. Eintracht Frankfurt,12.7,4.7,0.9,7.1,6.88
14. Augsburg,15.2,6.8,0.8,7.7,6.88
15. Hannover 96,13.8,5.9,0.6,7.4,6.85
16. VfB Stuttgart,12,5.2,0.8,6.1,6.82
17. Freiburg,11,4.7,0.6,5.7,6.80
18. Eintracht Braunschweig,12,6,0.8,5.2,6.74
