R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Bayern Munich,68,2,18,5,1
2,Schalke 04,41,2,12,5,3
3,Hoffenheim,41,8,13,10,0
4,Borussia M.Gladbach,39,2,11,5,2
5,Borussia Dortmund,38,8,24,10,0
6,Wolfsburg,37,4,18,3,1
7,Mainz 05,36,5,6,3,2
8,Bayer Leverkusen,34,11,11,2,2
9,Hamburger SV,33,1,13,3,1
10,Augsburg,30,8,6,2,1
11,VfB Stuttgart,25,6,15,2,1
12,Freiburg,25,5,11,1,1
13,Hannover 96,24,7,12,3,0
14,Eintracht Frankfurt,24,3,10,1,2
15,Nuernberg,24,4,7,2,0
16,Hertha Berlin,20,3,13,4,0
17,Werder Bremen,20,7,10,2,3
18,Eintracht Braunschweig,16,1,10,1,1
