R,Team,Left Side,Middle of the pitch,Right Side
1,Werder Bremen,42%,25%,34%
2,Borussia M.Gladbach,39%,28%,34%
3,VfB Stuttgart,38%,25%,37%
4,Hamburger SV,37%,27%,37%
5,Nuernberg,37%,26%,37%
6,Mainz 05,37%,29%,34%
7,Hertha Berlin,36%,27%,37%
8,Freiburg,36%,23%,42%
9,Augsburg,36%,25%,39%
10,Wolfsburg,35%,25%,39%
11,Eintracht Frankfurt,34%,28%,38%
12,Hoffenheim,34%,30%,36%
13,Eintracht Braunschweig,34%,27%,40%
14,Bayer Leverkusen,33%,31%,36%
15,Borussia Dortmund,33%,30%,36%
16,Bayern Munich,32%,29%,40%
17,Schalke 04,32%,31%,37%
18,Hannover 96,32%,26%,42%
