Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Bayern Munich,18.7,7.6,20.3,13.4,7.42
2. Borussia Dortmund,18.1,7.2,16.1,14.1,7.23
3. Borussia M.Gladbach,12.6,5,18.9,11.5,7.09
4. Bayer Leverkusen,14.6,5.5,16.7,13,7.07
5. Schalke 04,14.1,5.4,17.4,14.4,7.06
6. Wolfsburg,15.4,5.9,18.2,15.2,7.05
7. Mainz 05,13.1,4.8,15.5,14.8,7.00
8. Hoffenheim,14.7,5.8,15.1,16.6,6.96
9. Hamburger SV,14.9,6,18.1,15.6,6.95
10. Werder Bremen,10.9,3.9,13.4,14.9,6.90
11. Hertha Berlin,11.3,4.4,16.5,16.4,6.89
12. Nuernberg,11.6,4.2,16.6,14.5,6.89
13. Eintracht Frankfurt,12.7,4.5,15.1,15.9,6.88
14. Augsburg,15.2,4.7,12.1,15.7,6.88
15. Hannover 96,13.8,4.9,14.1,14.4,6.85
16. VfB Stuttgart,12,4.1,15.2,14.4,6.82
17. Freiburg,11,3.8,15,13.2,6.80
18. Eintracht Braunschweig,12,3.5,14.1,17.1,6.74
