Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Juventus,10,24.7,15,12.9,3.7,7.14
2. Napoli,12.8,23.6,14.3,13.7,2.2,7.10
3. Fiorentina,10.5,20.4,15.6,13.7,2.4,7.04
4. AC Milan,10.3,23.1,13.3,14.2,2.4,7.03
5. Roma,13.2,21.3,16.1,13.7,2.2,6.98
6. Udinese,13.8,23.4,16.1,14.8,3.4,6.94
7. Inter,13.5,24.2,14.4,13,2.5,6.93
8. Lazio,12,23.4,15.6,16.1,2.2,6.93
9. Parma Calcio 1913,11.8,23.8,16.3,17.5,2.2,6.91
10. Catania,14.4,23.8,15.5,17.6,2.5,6.91
11. Bologna,13.6,24,16.2,17.4,2.9,6.84
12. Cagliari,14.4,22,15.4,18,2.5,6.84
13. Genoa,13.4,25.3,15.1,16.1,2.5,6.81
14. Torino,12.8,23.7,13.6,14.6,2.7,6.80
15. Sampdoria,13.9,21.2,16.1,14.1,1.5,6.79
16. Chievo,13.4,22.6,15.8,16.6,2.7,6.78
17. Palermo FC,13.8,25.3,16,15.1,2.6,6.78
18. Atalanta,15.1,24,14.4,15.4,2.7,6.77
19. Robur Siena,14,22.2,15.6,15.2,2.4,6.68
20. Pescara,17.7,22.9,14.7,16.1,1.6,6.60
