Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Juventus,18.4,9.2,1.3,7.9,7.14
2. Napoli,15.2,6.9,1.2,7.1,7.10
3. Fiorentina,16.3,8.4,1.3,6.6,7.04
4. AC Milan,16.7,9,1,6.7,7.03
5. Roma,16.7,8.1,0.9,7.8,6.98
6. Udinese,11.8,5.1,0.7,6,6.94
7. Inter,14.5,6.7,0.7,7.1,6.93
8. Lazio,13.6,7.4,0.6,5.6,6.93
9. Catania,12.5,6.5,0.4,5.6,6.91
10. Parma Calcio 1913,14.2,6.6,0.9,6.8,6.91
11. Bologna,13.3,7.8,0.5,5.1,6.84
12. Cagliari,12.5,6.3,0.6,5.5,6.84
13. Genoa,12,6.3,0.6,5.1,6.81
14. Torino,11.3,5.2,0.6,5.5,6.80
15. Sampdoria,11.2,6.1,0.4,4.7,6.79
16. Palermo FC,13.5,7.4,0.5,5.6,6.78
17. Chievo,10,4.9,0.6,4.5,6.78
18. Atalanta,11,4.8,0.7,5.4,6.77
19. Robur Siena,9.1,4.3,0.6,4.3,6.68
20. Pescara,10.6,6.2,0.5,3.9,6.60
