Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Juventus,18.4,6.8,11.4,14.2,7.14
2. Napoli,15.2,5.9,10.6,15.4,7.10
3. Fiorentina,16.3,5.4,12.4,16.6,7.04
4. AC Milan,16.7,6.2,11.1,14.4,7.03
5. Roma,16.7,5.8,10.8,15.6,6.98
6. Udinese,11.8,4.1,10.6,15.4,6.94
7. Inter,14.5,4.9,12.6,12.7,6.93
8. Lazio,13.6,4.6,10,13.1,6.93
9. Parma Calcio 1913,14.2,4.6,11.2,11.9,6.91
10. Catania,12.5,3.9,9.6,15.4,6.91
11. Bologna,13.3,3.9,7.8,16.7,6.84
12. Cagliari,12.5,3.9,9,15.4,6.84
13. Genoa,12,4.3,8,14.2,6.81
14. Torino,11.3,3.8,8.1,14.2,6.80
15. Sampdoria,11.2,3.6,8.2,16.7,6.79
16. Chievo,10,3,7.8,12.9,6.78
17. Palermo FC,13.5,4.3,8.1,13.5,6.78
18. Atalanta,11,3.4,5.8,14.8,6.77
19. Robur Siena,9.1,2.8,5.8,12.8,6.68
20. Pescara,10.6,3.1,8.5,13.4,6.60
