R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Fiorentina,8%,40%,52%
2,Napoli,8%,47%,45%
3,Juventus,7%,43%,50%
4,Torino,6%,49%,46%
5,Chievo,6%,45%,49%
6,Parma Calcio 1913,6%,48%,46%
7,AC Milan,6%,40%,54%
8,Udinese,6%,51%,43%
9,Robur Siena,6%,47%,47%
10,Atalanta,6%,50%,44%
11,Inter,5%,49%,46%
12,Roma,5%,46%,48%
13,Cagliari,5%,44%,51%
14,Pescara,5%,37%,58%
15,Genoa,5%,42%,53%
16,Bologna,4%,38%,58%
17,Lazio,4%,41%,54%
18,Sampdoria,4%,42%,54%
19,Palermo FC,4%,42%,55%
20,Catania,3%,45%,52%
