R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Juventus,45,4,14,8,0
2,Napoli,43,6,16,7,1
3,Roma,42,5,16,5,0
4,Fiorentina,40,1,22,7,2
5,AC Milan,36,7,11,10,3
6,Inter,35,5,8,4,3
7,Udinese,34,11,10,4,0
8,Torino,29,5,6,5,1
9,Lazio,28,4,9,7,3
10,Parma Calcio 1913,28,4,9,3,1
11,Bologna,26,3,12,4,1
12,Catania,25,8,16,1,0
13,Genoa,22,1,13,2,0
14,Palermo FC,22,3,7,2,0
15,Atalanta,21,4,8,5,1
16,Robur Siena,19,3,9,4,1
17,Chievo,17,6,9,5,0
18,Cagliari,15,7,12,7,2
19,Pescara,14,2,9,2,0
20,Sampdoria,14,7,14,6,2
