R,Team,Fouls,Unprofessional,Dive,Other
1,Eintracht Frankfurt,71,3,0,15
2,Hertha Berlin,63,3,1,12
3,Hamburger SV,61,5,0,25
4,Schalke 04,60,1,0,9
5,Bayer Leverkusen,58,2,2,20
6,Hannover 96,58,4,1,19
7,Hoffenheim,56,4,0,9
8,Freiburg,54,1,0,13
9,Werder Bremen,50,4,2,15
10,VfB Stuttgart,49,6,0,11
11,Augsburg,49,3,0,13
12,Paderborn,47,3,0,5
13,Mainz 05,43,1,0,11
14,Borussia Dortmund,42,3,1,8
15,FC Koln,41,2,0,7
16,Borussia M.Gladbach,40,4,0,13
17,Wolfsburg,35,2,1,8
18,Bayern Munich,31,3,0,5
