R,Team,Left Side,Middle of the pitch,Right Side
1,Hamburger SV,40%,26%,33%
2,Werder Bremen,40%,25%,34%
3,Augsburg,40%,26%,35%
4,Hertha Berlin,39%,25%,36%
5,Freiburg,38%,24%,39%
6,VfB Stuttgart,37%,27%,36%
7,Borussia M.Gladbach,37%,24%,38%
8,Mainz 05,36%,28%,36%
9,Wolfsburg,35%,25%,40%
10,Bayern Munich,35%,29%,36%
11,Schalke 04,34%,27%,39%
12,Borussia Dortmund,34%,31%,35%
13,Bayer Leverkusen,33%,29%,38%
14,Hannover 96,33%,27%,40%
15,Hoffenheim,33%,29%,38%
16,FC Koln,33%,30%,37%
17,Paderborn,33%,26%,41%
18,Eintracht Frankfurt,28%,27%,44%
