R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Wolfsburg,8%,49%,43%
2,VfB Stuttgart,7%,51%,42%
3,Werder Bremen,7%,48%,45%
4,Hoffenheim,7%,46%,47%
5,Bayern Munich,6%,59%,35%
6,Hamburger SV,6%,53%,41%
7,Schalke 04,6%,57%,36%
8,Eintracht Frankfurt,6%,58%,36%
9,Hertha Berlin,6%,55%,39%
10,Freiburg,6%,48%,46%
11,Hannover 96,6%,57%,37%
12,Borussia M.Gladbach,6%,54%,40%
13,Bayer Leverkusen,5%,47%,48%
14,Borussia Dortmund,5%,54%,41%
15,Mainz 05,5%,53%,42%
16,Augsburg,5%,51%,45%
17,FC Koln,5%,47%,48%
18,Paderborn,5%,48%,47%
