R,Team,Left Side,Attempts from the middle,Right Side
1,Osasuna,23%,63%,15%
2,Granada,23%,59%,18%
3,Real Betis,22%,58%,20%
4,Rayo Vallecano,22%,55%,23%
5,Real Madrid,21%,64%,15%
6,Deportivo La Coruna,21%,58%,21%
7,Atletico Madrid,21%,65%,14%
8,Barcelona,21%,65%,14%
9,Real Sociedad,21%,58%,21%
10,Mallorca,20%,60%,20%
11,Real Zaragoza,20%,61%,20%
12,Getafe,20%,61%,19%
13,Valencia,19%,62%,19%
14,Malaga,19%,67%,14%
15,Espanyol,18%,63%,19%
16,Athletic Bilbao,17%,62%,21%
17,Celta Vigo,17%,62%,21%
18,Real Valladolid,17%,62%,21%
19,Sevilla,17%,63%,20%
20,Levante,17%,64%,18%
