R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Barcelona,15,8,61,691
2,Real Madrid,21,7,63,416
3,Athletic Bilbao,24,4,60,411
4,Malaga,19,2,56,406
5,Real Valladolid,20,2,78,375
6,Sevilla,24,3,63,374
7,Rayo Vallecano,23,1,73,374
8,Real Sociedad,28,2,68,369
9,Deportivo La Coruna,22,2,60,361
10,Valencia,24,6,62,360
11,Celta Vigo,21,2,60,360
12,Atletico Madrid,24,2,57,345
13,Real Betis,16,3,67,327
14,Getafe,19,2,58,310
15,Osasuna,25,2,70,308
16,Espanyol,17,2,63,299
17,Real Zaragoza,22,1,65,287
18,Mallorca,22,1,60,275
19,Granada,21,2,61,275
20,Levante,17,2,61,239
