R,Team,Left Side,Middle of the pitch,Right Side
1,Real Betis,44%,25%,31%
2,Atletico Madrid,42%,24%,34%
3,Granada,40%,25%,35%
4,Real Zaragoza,39%,25%,35%
5,Rayo Vallecano,38%,24%,38%
6,Valencia,37%,28%,36%
7,Real Valladolid,36%,30%,34%
8,Malaga,36%,25%,39%
9,Real Madrid,35%,32%,33%
10,Osasuna,35%,28%,37%
11,Getafe,35%,24%,40%
12,Barcelona,34%,33%,33%
13,Real Sociedad,34%,24%,42%
14,Sevilla,34%,26%,40%
15,Espanyol,34%,26%,40%
16,Mallorca,33%,27%,41%
17,Athletic Bilbao,32%,25%,43%
18,Levante,32%,30%,39%
19,Celta Vigo,31%,27%,42%
20,Deportivo La Coruna,27%,27%,45%
