R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Mallorca,52,3,14,3,0
2,Deportivo La Coruna,42,4,16,7,1
3,Getafe,37,4,9,6,1
4,Celta Vigo,36,2,9,5,0
5,Levante,36,4,8,8,1
6,Real Betis,34,3,11,6,2
7,Real Valladolid,34,1,14,5,4
8,Real Zaragoza,34,9,14,4,1
9,Rayo Vallecano,31,9,20,5,1
10,Real Sociedad,29,4,13,3,0
11,Granada,28,4,19,1,2
12,Espanyol,27,4,13,5,3
13,Athletic Bilbao,26,6,25,7,1
14,Sevilla,25,3,18,6,2
15,Malaga,25,6,14,3,2
16,Osasuna,25,7,11,5,2
17,Valencia,23,9,15,7,0
18,Barcelona,23,3,10,3,1
19,Atletico Madrid,20,2,6,0,3
20,Real Madrid,18,4,16,3,1
