R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Barcelona,91,4,13,4,3
2,Real Madrid,56,11,26,7,3
3,Valencia,38,2,19,6,2
4,Rayo Vallecano,34,1,7,7,1
5,Real Sociedad,34,10,17,7,2
6,Real Betis,32,8,12,3,2
7,Malaga,32,0,16,4,1
8,Sevilla,31,7,13,5,2
9,Athletic Bilbao,30,2,11,1,0
10,Atletico Madrid,28,6,21,8,2
11,Real Valladolid,27,4,12,5,1
12,Mallorca,26,1,14,2,0
13,Celta Vigo,26,4,4,3,0
14,Deportivo La Coruna,23,7,11,4,2
15,Getafe,21,2,16,4,0
16,Granada,18,1,8,7,3
17,Levante,16,7,12,3,2
18,Osasuna,15,4,13,1,0
19,Espanyol,14,9,16,3,1
20,Real Zaragoza,13,1,14,8,1
