R,Team,Own Third,Middle Third,Opposition Third
1,Cagliari,31%,46%,24%
2,Palermo FC,30%,47%,23%
3,Chievo,30%,47%,25%
4,Bologna,29%,47%,24%
5,Crotone,29%,44%,27%
6,Sassuolo,29%,44%,27%
7,Torino,28%,44%,28%
8,AC Milan,28%,43%,28%
9,Udinese,28%,47%,26%
10,Pescara,28%,46%,26%
11,Fiorentina,27%,46%,28%
12,Empoli,27%,46%,27%
13,Genoa,27%,45%,28%
14,Lazio,26%,46%,28%
15,Roma,26%,44%,29%
16,Juventus,26%,46%,27%
17,Sampdoria,26%,44%,30%
18,Atalanta,25%,46%,28%
19,Inter,24%,45%,31%
20,Napoli,21%,48%,31%
