Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Roma,12.5,17.3,15.5,12.2,2.3,7.14
2. Napoli,10.2,16.4,11.3,9.9,2.2,7.04
3. Juventus,9.3,16.4,14.2,12.4,2.3,7.02
4. Inter,10.8,20,14.4,14.3,2.1,6.94
5. Atalanta,10.7,16.6,18.5,15.9,2.1,6.93
6. Lazio,11.1,20.7,14.1,14.3,2.7,6.90
7. AC Milan,13.8,16.9,10.6,13.7,2.5,6.82
8. Torino,14.3,16.5,15.3,15.5,2.3,6.79
9. Fiorentina,12.1,14.6,12.3,14.1,2.2,6.78
10. Sassuolo,15.6,17.8,15.1,13.8,1.9,6.78
11. Sampdoria,13.2,18.3,12.3,13.5,2.1,6.72
12. Udinese,12.5,17.3,13.8,12.7,0.9,6.70
13. Bologna,14.1,18.2,15.4,12.8,2.4,6.67
14. Chievo,15.2,15.9,13.8,14.8,2.6,6.67
15. Cagliari,17.2,17.7,14.7,14.6,2.5,6.64
16. Empoli,16.1,16.1,13.4,14.3,2.4,6.62
17. Genoa,12.7,16.8,13.6,16.4,2.2,6.60
18. Crotone,15.1,18.3,15.8,15.4,2.9,6.59
19. Palermo FC,14.5,16.6,16.1,14.9,2.2,6.54
20. Pescara,15.8,17.4,13.6,14.5,3,6.50
