Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Roma,17.8,6.4,1.4,9.9,7.14
2. Napoli,17.7,8.1,1.3,8.4,7.04
3. Juventus,15.3,5.8,1.1,8.5,7.02
4. Inter,16.7,6.4,1.3,8.9,6.94
5. Atalanta,14.1,4.8,1.1,8.1,6.93
6. Lazio,15.6,5.8,1,8.8,6.90
7. AC Milan,14.6,6.4,0.9,7.3,6.82
8. Torino,15.2,6.8,0.9,7.4,6.79
9. Sassuolo,11.6,4.6,0.9,6.2,6.78
10. Fiorentina,16.2,7.7,0.8,7.7,6.78
11. Sampdoria,13.3,6.3,0.8,6.2,6.72
12. Udinese,11.5,4.6,0.9,6,6.70
13. Chievo,10.7,4.6,0.9,5.2,6.67
14. Bologna,11.1,5.8,0.6,4.8,6.67
15. Cagliari,11.2,4.3,0.5,6.4,6.64
16. Empoli,9.6,3.7,0.4,5.6,6.62
17. Genoa,11.9,4.5,1.1,6.2,6.60
18. Crotone,10.7,4.7,0.7,5.2,6.59
19. Palermo FC,10.2,5,0.4,4.8,6.54
20. Pescara,11.7,4.9,0.8,6,6.50
