Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Bayern Munich,100,18.1,503,61.5,86.9,14.4,7.15
2. Borussia Dortmund,84,13.1,471,58.5,86.9,11,6.97
3. RB Leipzig,81,16.2,473,54.1,82.6,15.5,6.95
4. Borussia M.Gladbach,66,14.1,713,51.7,81.8,16.7,6.85
5. Bayer Leverkusen,61,14.5,556,60.1,85.1,15.6,6.84
6. Eintracht Frankfurt,59,14.8,684,50.0,76.5,20.9,6.74
7. Wolfsburg,48,14,674,48.6,76.0,19.3,6.73
8. Hoffenheim,53,13.3,642,51.5,81.7,17.2,6.72
9. Freiburg,48,13.2,412,48.3,78.4,19.3,6.70
10. Hertha Berlin,48,10.6,744,46.5,77.5,18.6,6.69
11. FC Koln,51,12.3,774,47.4,76.3,21.5,6.65
12. Union Berlin,41,11.8,655,43.8,70.5,27.2,6.65
13. Schalke 04,38,11.3,632,49.6,77.7,19,6.63
14. Mainz 05,44,13.3,713,44.8,75.3,18.4,6.63
15. Werder Bremen,42,12.5,724,48.9,78.6,17.8,6.57
16. Augsburg,45,10.7,642,41.3,69.8,16.8,6.57
17. Paderborn,37,12.7,803,46.9,77.8,14.1,6.52
18. Fortuna Duesseldorf,36,12.6,780,46.4,77.5,17.6,6.52
