R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Bayern Munich,10%,53%,37%
2,Fortuna Duesseldorf,10%,56%,34%
3,Bayer Leverkusen,9%,55%,36%
4,Mainz 05,9%,54%,37%
5,Borussia Dortmund,8%,54%,38%
6,Union Berlin,8%,53%,39%
7,Freiburg,8%,48%,45%
8,Hertha Berlin,8%,52%,40%
9,RB Leipzig,8%,54%,37%
10,Werder Bremen,7%,57%,36%
11,Paderborn,7%,65%,27%
12,Schalke 04,6%,57%,37%
13,Borussia M.Gladbach,6%,60%,34%
14,Wolfsburg,5%,62%,32%
15,Eintracht Frankfurt,5%,56%,39%
16,Augsburg,5%,58%,36%
17,Hoffenheim,5%,61%,34%
18,FC Koln,4%,55%,41%
