R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Augsburg,21,1,70,478
2,Union Berlin,20,1,68,451
3,Mainz 05,21,1,63,443
4,Fortuna Duesseldorf,18,1,59,442
5,Hertha Berlin,22,1,58,441
6,Paderborn,20,1,63,430
7,Werder Bremen,24,1,60,419
8,FC Koln,18,1,59,412
9,Freiburg,22,1,59,410
10,Hoffenheim,22,1,61,391
11,Schalke 04,19,1,62,387
12,Wolfsburg,18,0,68,384
13,RB Leipzig,16,1,65,383
14,Borussia M.Gladbach,19,1,63,380
15,Eintracht Frankfurt,16,1,65,375
16,Borussia Dortmund,13,1,56,371
17,Bayer Leverkusen,14,2,60,295
18,Bayern Munich,13,1,63,291
