R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Bayern Munich,76,5,10,6,3
2,Borussia Dortmund,61,11,10,2,0
3,RB Leipzig,54,7,15,5,0
4,Borussia M.Gladbach,44,4,12,4,2
5,Bayer Leverkusen,39,6,10,2,4
6,Hoffenheim,36,2,11,3,1
7,Eintracht Frankfurt,35,3,17,2,2
8,Hertha Berlin,29,4,9,3,3
9,Mainz 05,28,3,8,3,2
10,Augsburg,28,5,9,3,0
11,Wolfsburg,27,3,14,4,0
12,Freiburg,27,1,13,5,2
13,Werder Bremen,26,6,5,3,2
14,FC Koln,24,8,16,2,1
15,Paderborn,21,5,9,2,0
16,Fortuna Duesseldorf,21,3,8,4,0
17,Schalke 04,19,5,9,2,3
18,Union Berlin,13,6,15,4,3
