R,Team,Left Side,Middle of the pitch,Right Side
1,Paderborn,45%,22%,33%
2,Union Berlin,40%,24%,37%
3,Borussia Dortmund,39%,22%,39%
4,Eintracht Frankfurt,39%,27%,34%
5,Augsburg,39%,23%,38%
6,Bayern Munich,37%,26%,37%
7,Borussia M.Gladbach,37%,26%,37%
8,Schalke 04,36%,23%,41%
9,Hertha Berlin,36%,26%,37%
10,Mainz 05,36%,30%,34%
11,RB Leipzig,36%,27%,37%
12,Wolfsburg,35%,26%,39%
13,FC Koln,35%,28%,37%
14,Freiburg,35%,27%,38%
15,Fortuna Duesseldorf,34%,23%,43%
16,Hoffenheim,34%,26%,40%
17,Bayer Leverkusen,33%,26%,41%
18,Werder Bremen,33%,29%,38%
