R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Eintracht Frankfurt,11%,59%,31%
2,Bayer Leverkusen,9%,58%,33%
3,Bayern Munich,9%,59%,32%
4,Borussia M.Gladbach,9%,59%,32%
5,FC Koln,9%,58%,33%
6,Freiburg,9%,56%,35%
7,Union Berlin,8%,54%,38%
8,Borussia Dortmund,7%,61%,32%
9,Augsburg,7%,52%,42%
10,RB Leipzig,7%,59%,34%
11,Hoffenheim,7%,60%,33%
12,Wolfsburg,6%,54%,40%
13,Hertha Berlin,6%,58%,37%
14,Mainz 05,5%,52%,42%
15,Paderborn,5%,49%,46%
16,Schalke 04,4%,54%,42%
17,Werder Bremen,4%,57%,39%
18,Fortuna Duesseldorf,4%,49%,47%
