Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Bayern Munich,18.1,5.8,1.6,10.7,7.15
2. Borussia Dortmund,13.1,4.2,0.9,8,6.97
3. RB Leipzig,16.2,5.5,1.1,9.6,6.95
4. Borussia M.Gladbach,14.1,4.6,1.2,8.4,6.85
5. Bayer Leverkusen,14.5,4.8,1.4,8.4,6.84
6. Eintracht Frankfurt,14.8,4.5,1.6,8.7,6.74
7. Wolfsburg,14,5.6,0.8,7.5,6.73
8. Hoffenheim,13.3,4.3,1,8,6.72
9. Freiburg,13.2,4.7,1.2,7.3,6.70
10. Hertha Berlin,10.6,3.9,0.6,6.1,6.69
11. Union Berlin,11.8,4.5,0.9,6.4,6.65
12. FC Koln,12.3,4.1,1.1,7.1,6.65
13. Mainz 05,13.3,5.6,0.7,7,6.63
14. Schalke 04,11.3,4.8,0.4,6.1,6.63
15. Augsburg,10.7,4.4,0.7,5.5,6.57
16. Werder Bremen,12.5,4.8,0.6,7.1,6.57
17. Fortuna Duesseldorf,12.6,5.9,0.6,6.1,6.52
18. Paderborn,12.7,5.8,0.6,6.2,6.52
