R,Team,Left Side,Attempts from the middle,Right Side
1,Borussia Dortmund,24%,60%,16%
2,Wolfsburg,21%,62%,17%
3,Bayern Munich,21%,65%,14%
4,Bayer Leverkusen,19%,67%,14%
5,RB Leipzig,19%,68%,13%
6,Hoffenheim,19%,65%,16%
7,Werder Bremen,18%,66%,16%
8,FC Koln,18%,66%,16%
9,Union Berlin,18%,63%,19%
10,Augsburg,18%,65%,17%
11,Mainz 05,16%,70%,14%
12,Eintracht Frankfurt,16%,65%,19%
13,Schalke 04,15%,71%,14%
14,Borussia M.Gladbach,15%,70%,15%
15,Hertha Berlin,15%,67%,19%
16,Freiburg,14%,73%,14%
17,Paderborn,12%,71%,17%
18,Fortuna Duesseldorf,11%,75%,14%
