Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Bayern Munich,18.1,7.5,14.1,10.4,7.15
2. Borussia Dortmund,13.1,5.7,13.8,9.6,6.97
3. RB Leipzig,16.2,6.4,11.4,10.9,6.95
4. Borussia M.Gladbach,14.1,5.9,11.4,13.1,6.85
5. Bayer Leverkusen,14.5,5.5,13.2,10.9,6.84
6. Eintracht Frankfurt,14.8,5.1,9.6,10.8,6.74
7. Wolfsburg,14,4.7,10.4,11.7,6.73
8. Hoffenheim,13.3,4.8,8.9,12.2,6.72
9. Freiburg,13.2,4.4,7.3,12.9,6.70
10. Hertha Berlin,10.6,3.6,10.4,10.3,6.69
11. FC Koln,12.3,4.5,8,12.8,6.65
12. Union Berlin,11.8,4,7.6,11,6.65
13. Schalke 04,11.3,3.8,12.4,11.2,6.63
14. Mainz 05,13.3,4.2,11.1,11.8,6.63
15. Werder Bremen,12.5,4.1,7.6,13.2,6.57
16. Augsburg,10.7,4,6.9,11.3,6.57
17. Paderborn,12.7,3.8,11.2,10.5,6.52
18. Fortuna Duesseldorf,12.6,3.5,7.6,12.6,6.52
