R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Napoli,18,3,54,676
2,Juventus,18,2,63,523
3,Inter,28,2,49,505
4,AC Milan,23,1,66,466
5,Roma,25,1,65,454
6,Atalanta,20,1,65,452
7,Lazio,19,2,56,437
8,Sampdoria,21,1,62,433
9,Fiorentina,22,2,57,414
10,Torino,16,1,63,386
11,Benevento,17,1,59,376
12,Bologna,15,1,67,359
13,Genoa,20,1,67,355
14,Chievo,21,1,65,340
15,Udinese,19,1,64,336
16,Cagliari,19,1,71,326
17,SPAL 2013,19,0,64,317
18,Sassuolo,21,2,70,304
19,Verona,18,1,70,303
20,Crotone,17,0,68,286
