R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Benevento,52,4,16,10,2
2,Verona,50,4,16,6,2
3,Sassuolo,42,1,12,2,2
4,Sampdoria,39,1,12,6,2
5,Bologna,36,1,9,3,3
6,Cagliari,36,2,10,8,1
7,Crotone,36,3,21,6,0
8,Udinese,35,4,17,2,5
9,Chievo,35,2,14,4,4
10,SPAL 2013,34,1,11,9,4
11,AC Milan,31,2,6,2,1
12,Torino,30,2,9,5,0
13,Lazio,29,1,8,9,2
14,Fiorentina,27,2,15,2,0
15,Atalanta,27,3,8,1,0
16,Genoa,26,4,7,4,2
17,Napoli,18,2,7,2,0
18,Roma,18,2,5,3,0
19,Inter,17,3,4,2,4
20,Juventus,10,0,9,3,2
