Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Juventus,14.6,5.5,13.7,13,7.05
2. Roma,16.9,5.4,10.8,11.6,6.96
3. Lazio,14.6,5.6,12.2,9.2,6.95
4. Napoli,17.3,6.8,9.2,9.7,6.94
5. Inter,15.1,5.4,9.3,10.4,6.92
6. Atalanta,15.2,5.2,11.6,12.2,6.88
7. Fiorentina,16.3,5,9.2,11.3,6.82
8. Torino,11.9,4.1,11,13.4,6.80
9. AC Milan,16.1,5.9,7.8,12.6,6.76
10. Sampdoria,12.7,4.6,9.4,12.8,6.70
11. Udinese,11.6,3.6,8.2,10.3,6.65
12. Bologna,9.4,3.3,8.6,12.3,6.64
13. Genoa,11,3.3,8.7,12.5,6.64
14. SPAL 2013,9.8,3,8.2,16.8,6.64
15. Chievo,10.3,3.5,5.4,12.1,6.61
16. Crotone,10,3.5,6.6,12.3,6.61
17. Sassuolo,13.1,3.8,8.7,14.6,6.60
18. Cagliari,10,3.1,6.2,12.1,6.59
19. Verona,9.5,2.5,9.7,10.6,6.55
20. Benevento,12.4,3.9,10.4,12.2,6.49
