R,Team,Left Side,Attempts from the middle,Right Side
1,Napoli,33%,55%,12%
2,Crotone,24%,57%,19%
3,Torino,23%,62%,15%
4,Bologna,21%,64%,15%
5,Roma,21%,62%,17%
6,Sassuolo,20%,62%,19%
7,Inter,19%,62%,19%
8,Verona,19%,60%,22%
9,Udinese,19%,64%,17%
10,SPAL 2013,19%,63%,18%
11,Benevento,19%,60%,21%
12,Genoa,18%,68%,14%
13,Fiorentina,17%,63%,20%
14,Lazio,17%,65%,18%
15,AC Milan,17%,57%,25%
16,Sampdoria,17%,66%,17%
17,Juventus,16%,65%,19%
18,Atalanta,16%,68%,16%
19,Cagliari,14%,71%,15%
20,Chievo,12%,73%,15%
