R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Everton,46,1,8,3,0
2,Stoke,45,4,12,5,2
3,Bournemouth,45,2,11,2,1
4,West Ham,41,5,16,5,1
5,Southampton,39,4,12,1,0
6,Huddersfield,39,5,9,4,1
7,West Bromwich Albion,39,2,12,1,2
8,Leicester,37,3,16,2,2
9,Crystal Palace,37,0,14,2,2
10,Arsenal,36,3,7,5,0
11,Watford,36,4,17,6,1
12,Newcastle United,35,1,4,4,3
13,Swansea,33,5,13,3,2
14,Burnley,28,1,6,3,1
15,Chelsea,26,2,6,2,2
16,Liverpool,24,2,8,4,0
17,Tottenham,22,1,10,2,1
18,Brighton,22,5,21,1,5
19,Manchester City,20,2,3,0,2
20,Manchester United,12,3,10,1,2
