R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Manchester City,18,3,48,699
2,Arsenal,15,3,54,571
3,Liverpool,20,3,63,546
4,Chelsea,20,2,57,509
5,Tottenham,22,2,66,509
6,Manchester United,20,2,62,470
7,Southampton,21,1,67,388
8,Bournemouth,19,1,62,368
9,Watford,19,1,65,352
10,Swansea,18,1,69,349
11,Leicester,20,2,71,333
12,Huddersfield,20,1,68,329
13,Everton,17,1,73,321
14,Crystal Palace,19,1,64,317
15,Brighton,18,1,75,316
16,West Ham,19,1,69,313
17,Newcastle United,16,2,69,303
18,Burnley,19,0,81,282
19,West Bromwich Albion,21,1,72,279
20,Stoke,16,1,68,276
