R,Team,Left Side,Attempts from the middle,Right Side
1,Watford,23%,65%,12%
2,Manchester United,22%,66%,11%
3,Tottenham,21%,66%,13%
4,Crystal Palace,21%,68%,11%
5,Manchester City,20%,66%,14%
6,Chelsea,19%,62%,19%
7,Southampton,19%,70%,12%
8,West Ham,19%,65%,16%
9,Bournemouth,19%,65%,16%
10,West Bromwich Albion,19%,70%,12%
11,Arsenal,18%,67%,14%
12,Brighton,18%,66%,15%
13,Huddersfield,18%,65%,17%
14,Newcastle United,17%,69%,14%
15,Leicester,16%,71%,13%
16,Stoke,16%,65%,19%
17,Burnley,15%,72%,13%
18,Liverpool,14%,70%,16%
19,Swansea,14%,68%,18%
20,Everton,11%,78%,11%
