R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Manchester City,78,4,15,6,3
2,Liverpool,60,9,11,2,2
3,Arsenal,54,0,15,4,1
4,Tottenham,48,8,12,2,4
5,Manchester United,48,4,14,1,1
6,Chelsea,45,1,11,3,2
7,West Ham,32,4,10,2,0
8,Leicester,29,7,12,5,3
9,Watford,29,1,9,3,2
10,Everton,29,2,6,5,2
11,Burnley,27,0,8,0,1
12,Bournemouth,26,0,16,3,0
13,Newcastle United,23,4,11,0,1
14,Brighton,23,0,5,5,1
15,Crystal Palace,23,3,10,8,1
16,Stoke,22,2,10,0,1
17,Southampton,19,2,12,3,1
18,Huddersfield,17,2,4,2,3
19,Swansea,16,0,10,1,1
20,West Bromwich Albion,14,2,14,1,0
