Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Manchester City,17.5,6.7,1.5,9.3,7.15
2. Liverpool,16.8,6.5,1.2,9.1,6.99
3. Manchester United,13.5,5.6,1.2,6.7,6.98
4. Tottenham,16.4,7,1,8.4,6.95
5. Chelsea,15.9,6.5,0.9,8.5,6.94
6. Arsenal,15.6,5.9,1.1,8.6,6.92
7. Crystal Palace,12.5,4.6,0.9,7.1,6.84
8. Burnley,9.9,3.5,0.8,5.7,6.78
9. Leicester,11.1,4.3,1,5.8,6.74
10. West Ham,9.8,3.7,0.7,5.4,6.72
11. Newcastle United,11.9,5.6,0.9,5.4,6.72
12. Stoke,10.1,4,0.8,5.2,6.70
13. Brighton,10.1,4,0.9,5.1,6.69
14. Everton,9.4,3.4,0.7,5.4,6.67
15. Southampton,11.8,4.7,0.9,6.2,6.67
16. Watford,11.6,4.3,0.8,6.4,6.66
17. Bournemouth,12.2,5.1,0.7,6.5,6.65
18. West Bromwich Albion,9.9,3.8,1.1,5,6.63
19. Huddersfield,9.5,4.1,0.6,4.8,6.61
20. Swansea,8.9,3.8,0.7,4.4,6.59
