R,Team,Own Third,Middle Third,Opposition Third
1,Brighton,32%,45%,23%
2,Everton,31%,43%,27%
3,West Bromwich Albion,31%,43%,26%
4,Stoke,30%,45%,26%
5,Swansea,30%,46%,25%
6,Bournemouth,30%,43%,27%
7,Leicester,29%,45%,27%
8,Newcastle United,29%,45%,25%
9,Crystal Palace,29%,43%,28%
10,West Ham,29%,45%,25%
11,Burnley,29%,43%,28%
12,Huddersfield,28%,45%,27%
13,Chelsea,27%,44%,29%
14,Southampton,27%,45%,28%
15,Manchester United,27%,44%,30%
16,Arsenal,26%,44%,30%
17,Watford,26%,44%,29%
18,Tottenham,25%,44%,32%
19,Liverpool,23%,47%,30%
20,Manchester City,21%,44%,34%
