R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Verona,24,2,53,455
2,Parma Calcio 1913,22,2,60,455
3,Udinese,25,1,62,423
4,Chievo,24,1,68,420
5,Cesena,26,1,68,415
6,Atalanta,24,1,64,406
7,Torino,20,1,58,403
8,Cagliari,23,1,74,402
9,Palermo FC,21,1,62,395
10,Sassuolo,23,1,68,385
11,Sampdoria,25,1,60,376
12,AC Milan,21,2,55,376
13,Empoli,22,1,82,362
14,Napoli,16,1,66,354
15,Lazio,15,1,65,346
16,Genoa,19,1,61,340
17,Juventus,19,1,65,335
18,Fiorentina,17,1,68,312
19,Roma,18,2,56,308
20,Inter,19,1,63,297
