Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Juventus,10.6,17.5,14.6,13.8,2.7,7.04
2. Lazio,9.7,21.1,19.8,17.8,2.5,6.99
3. Inter,12,18.9,16.6,14.7,2.4,6.94
4. Roma,10.3,16.7,17.6,13.7,2.3,6.93
5. Fiorentina,12.1,17.4,16.5,14.2,2.6,6.92
6. Napoli,10.1,19.6,16.9,13.8,2.8,6.87
7. Genoa,13.1,17.8,15.6,16.7,2.3,6.86
8. Sampdoria,13.7,16.6,14.7,16.2,2.8,6.84
9. Torino,13.8,17.5,16.2,14.3,2.5,6.81
10. Palermo FC,13,19.7,13.7,15.3,1.9,6.81
11. AC Milan,14.6,17.2,17.9,14.2,2.6,6.80
12. Sassuolo,13.2,16.6,19.3,15.4,1.7,6.77
13. Chievo,15.2,19.1,17.5,16.4,3.4,6.76
14. Cagliari,13.1,18,15.4,15.7,2.2,6.74
15. Empoli,13.7,17.2,9.8,12.9,1.7,6.74
16. Verona,16.4,17.5,14.9,13.8,2.4,6.72
17. Udinese,15.4,18.1,13.2,14,2.4,6.71
18. Atalanta,15,17,15.9,16.6,1.8,6.70
19. Cesena,15.3,19.5,14.8,16.6,1.7,6.61
20. Parma Calcio 1913,13.9,16.4,16,17.4,2.1,6.53
