Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Juventus,15.8,7.2,0.8,7.8,7.04
2. Lazio,14.5,6.9,1,6.6,6.99
3. Inter,16.2,8,0.8,7.4,6.94
4. Roma,13.8,6.8,0.8,6.3,6.93
5. Fiorentina,16.2,7.8,1,7.4,6.92
6. Napoli,16.4,7.5,0.8,8.1,6.87
7. Genoa,12.9,5.4,0.9,6.6,6.86
8. Sampdoria,13.2,6.5,0.8,5.9,6.84
9. Palermo FC,12.6,5.5,1.2,5.9,6.81
10. Torino,14.4,6.4,0.7,7.3,6.81
11. AC Milan,11.8,5.6,0.6,5.7,6.80
12. Sassuolo,11.8,6.2,0.6,5,6.77
13. Chievo,12.1,6.1,0.5,5.5,6.76
14. Empoli,13.6,6.1,0.7,6.8,6.74
15. Cagliari,13,5.2,0.9,6.9,6.74
16. Verona,12.1,4.7,0.8,6.6,6.72
17. Udinese,11.2,5.2,0.5,5.5,6.71
18. Atalanta,12.1,5.6,0.8,5.7,6.70
19. Cesena,9.5,4.6,0.5,4.4,6.61
20. Parma Calcio 1913,11,5.4,0.6,5,6.53
