R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Palermo FC,10%,47%,44%
2,Verona,7%,54%,39%
3,Lazio,7%,46%,48%
4,Cagliari,7%,54%,39%
5,Genoa,7%,51%,42%
6,Atalanta,7%,47%,46%
7,Fiorentina,6%,46%,48%
8,Roma,6%,45%,49%
9,Sampdoria,6%,45%,49%
10,Torino,5%,51%,44%
11,Inter,5%,46%,49%
12,Empoli,5%,50%,45%
13,Juventus,5%,50%,45%
14,AC Milan,5%,48%,47%
15,Parma Calcio 1913,5%,45%,49%
16,Cesena,5%,46%,49%
17,Napoli,5%,49%,46%
18,Sassuolo,5%,42%,53%
19,Chievo,4%,45%,50%
20,Udinese,4%,49%,46%
