R,Team,Own Third,Middle Third,Opposition Third
1,Torino,31%,46%,22%
2,Verona,31%,43%,26%
3,Udinese,30%,46%,24%
4,Sampdoria,29%,43%,28%
5,Cesena,29%,46%,26%
6,AC Milan,29%,46%,25%
7,Parma Calcio 1913,29%,46%,25%
8,Atalanta,29%,45%,26%
9,Chievo,28%,45%,27%
10,Sassuolo,28%,46%,26%
11,Genoa,27%,44%,30%
12,Palermo FC,27%,45%,28%
13,Cagliari,26%,47%,27%
14,Empoli,26%,45%,29%
15,Inter,25%,46%,30%
16,Roma,25%,47%,28%
17,Juventus,25%,45%,29%
18,Fiorentina,24%,43%,31%
19,Lazio,24%,48%,28%
20,Napoli,22%,49%,29%
