R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Parma Calcio 1913,52,2,16,5,0
2,Cesena,45,0,17,7,4
3,Verona,44,4,7,5,5
4,Cagliari,42,3,18,3,2
5,Sassuolo,39,1,13,4,0
6,Atalanta,38,3,10,6,0
7,Empoli,37,0,11,1,3
8,Inter,36,0,9,2,1
9,Udinese,36,2,8,8,2
10,Palermo FC,33,1,15,4,2
11,Napoli,30,7,11,2,4
12,Fiorentina,29,5,7,3,2
13,AC Milan,28,4,11,4,3
14,Genoa,28,3,13,3,0
15,Torino,26,1,9,7,2
16,Sampdoria,23,2,11,6,0
17,Chievo,22,2,12,2,3
18,Lazio,19,4,9,4,2
19,Roma,17,1,8,5,0
20,Juventus,10,2,10,2,0
