R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Genoa,8%,52%,40%
2,Chievo,7%,46%,47%
3,Parma Calcio 1913,7%,52%,41%
4,Fiorentina,6%,48%,46%
5,Cagliari,6%,51%,43%
6,Verona,6%,45%,49%
7,Cesena,6%,49%,45%
8,Sampdoria,6%,52%,42%
9,Udinese,6%,48%,46%
10,Atalanta,6%,43%,51%
11,Palermo FC,6%,44%,49%
12,Sassuolo,6%,54%,40%
13,Inter,5%,51%,44%
14,AC Milan,5%,44%,52%
15,Roma,5%,51%,44%
16,Napoli,5%,49%,46%
17,Torino,4%,41%,55%
18,Lazio,4%,50%,45%
19,Empoli,4%,47%,48%
20,Juventus,3%,43%,53%
