R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Juventus,48,3,14,2,1
2,Roma,41,2,14,2,1
3,AC Milan,39,9,14,10,2
4,Napoli,39,9,13,4,1
5,Inter,34,5,10,8,1
6,Lazio,34,2,10,7,3
7,Udinese,28,10,9,4,1
8,Chievo,26,2,4,3,0
9,Genoa,26,7,11,5,1
10,Bologna,24,3,11,2,1
11,Palermo FC,23,6,16,5,2
12,Parma Calcio 1913,22,7,16,7,2
13,Robur Siena,21,7,10,7,0
14,Atalanta,21,9,6,3,2
15,Lecce,19,5,10,6,0
16,Novara,19,1,8,6,1
17,Fiorentina,17,4,9,6,1
18,Catania,17,2,18,9,1
19,Cagliari,15,7,7,6,2
20,Cesena,12,4,3,4,1
