R,Team,Left Side,Attempts from the middle,Right Side
1,Palermo FC,24%,59%,17%
2,Roma,22%,59%,19%
3,Novara,22%,62%,17%
4,Inter,21%,61%,18%
5,Juventus,21%,64%,15%
6,Cesena,21%,59%,20%
7,AC Milan,21%,64%,14%
8,Robur Siena,21%,61%,19%
9,Bologna,20%,56%,24%
10,Fiorentina,20%,65%,14%
11,Lecce,20%,60%,19%
12,Cagliari,20%,61%,19%
13,Parma Calcio 1913,20%,61%,19%
14,Catania,20%,63%,17%
15,Napoli,20%,60%,20%
16,Lazio,18%,68%,14%
17,Udinese,17%,61%,22%
18,Genoa,17%,65%,18%
19,Chievo,17%,68%,15%
20,Atalanta,16%,67%,17%
