R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Palermo FC,37,4,11,8,3
2,Lecce,34,9,18,4,1
3,Brescia,33,6,10,2,1
4,Bologna,31,5,10,3,3
5,Roma,31,6,7,7,1
6,Genoa,30,6,7,2,2
7,Juventus,29,2,11,3,2
8,Sampdoria,29,5,13,2,0
9,Catania,29,9,11,3,0
10,Cesena,27,8,9,4,2
11,Bari,26,9,12,8,1
12,Udinese,26,3,9,2,3
13,Cagliari,24,8,14,4,1
14,Fiorentina,23,5,13,2,1
15,Parma Calcio 1913,23,3,10,8,3
16,Napoli,23,4,6,5,1
17,Inter,21,3,15,3,0
18,Chievo,21,3,11,4,1
19,Lazio,18,1,11,6,3
20,AC Milan,15,4,4,0,1
