R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Lecce,26,6,64,405
2,Cesena,26,5,65,403
3,Brescia,25,6,64,390
4,Catania,24,4,72,386
5,Chievo,24,5,70,375
6,Bari,24,4,55,373
7,Fiorentina,25,5,65,370
8,Udinese,25,4,60,363
9,Parma Calcio 1913,22,4,64,362
10,Sampdoria,24,4,63,361
11,Palermo FC,29,5,70,359
12,Bologna,25,4,68,357
13,Genoa,24,5,65,354
14,Cagliari,23,4,72,351
15,Juventus,23,5,69,350
16,Lazio,23,5,61,344
17,Roma,26,5,60,340
18,Inter,22,6,56,322
19,Napoli,22,4,62,321
20,AC Milan,23,3,57,300
