R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Inter,44,4,15,5,1
2,AC Milan,42,10,6,5,2
3,Palermo FC,38,10,7,2,1
4,Fiorentina,33,4,7,3,2
5,Napoli,30,7,14,7,1
6,Udinese,30,12,18,5,0
7,Juventus,29,9,10,4,5
8,Lazio,28,5,15,4,3
9,Parma Calcio 1913,28,1,7,3,0
10,Lecce,26,5,11,2,2
11,Cesena,25,4,4,4,1
12,Roma,24,6,16,11,2
13,Chievo,24,4,8,1,1
14,Bologna,23,1,10,1,0
15,Cagliari,23,6,11,1,3
16,Genoa,23,6,11,2,3
17,Catania,16,2,17,3,2
18,Bari,15,1,6,5,0
19,Sampdoria,15,2,8,7,1
20,Brescia,14,4,11,5,0
