Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. AC Milan,15.5,6.5,0.6,8.4,7.10
2. Inter,17.3,9.3,0.8,7.2,7.05
3. Udinese,14.7,5.5,0.9,8.3,6.97
4. Napoli,13.7,6.3,0.8,6.6,6.94
5. Chievo,13.4,6.5,0.6,6.3,6.90
6. Juventus,15.1,7.1,1,7.1,6.89
7. Roma,15.8,7.6,0.7,7.6,6.89
8. Lazio,14.8,7.4,0.8,6.7,6.88
9. Palermo FC,16.1,7.1,0.6,8.5,6.87
10. Genoa,14.2,6.4,1.2,6.6,6.86
11. Cagliari,12.8,5.9,0.6,6.3,6.82
12. Parma Calcio 1913,12.4,5.5,0.7,6.2,6.81
13. Cesena,12.2,6.5,0.4,5.4,6.77
14. Fiorentina,14.3,7.2,0.7,6.3,6.77
15. Brescia,13.1,6.8,0.7,5.7,6.77
16. Lecce,12.3,5.4,0.8,6.1,6.76
17. Catania,13.7,6.9,0.6,6.2,6.76
18. Sampdoria,12,5.9,0.7,5.4,6.75
19. Bologna,11.6,6,0.5,5.2,6.74
20. Bari,11.1,6,0.5,4.7,6.68
