Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. AC Milan,11.4,21.8,15.8,14.5,4.2,7.10
2. Inter,14.3,18.8,18.8,11.6,2.4,7.05
3. Udinese,13.6,20.8,17.7,15.3,4.6,6.97
4. Napoli,11.9,21.7,18.4,15.4,2.4,6.94
5. Chievo,14.2,20.4,21.2,17.6,3.1,6.90
6. Roma,14.4,20.6,17.9,14.6,2.3,6.89
7. Juventus,12.9,21,17.2,15.6,3.3,6.89
8. Lazio,13.5,21,15.1,14.3,2,6.88
9. Palermo FC,15.3,20.7,17.9,13.6,3.1,6.87
10. Genoa,13.2,23.1,14.8,15.8,3,6.86
11. Cagliari,12.5,23.4,19.2,16.6,3.1,6.82
12. Parma Calcio 1913,14.6,20.7,15.7,17.2,3.8,6.81
13. Fiorentina,14.5,19.6,13.1,15.1,3.2,6.77
14. Brescia,15.8,19.2,16.9,17.2,2.6,6.77
15. Cesena,15.7,22.1,17.9,15.3,2.8,6.77
16. Lecce,14.2,23.6,18.3,18.2,2.6,6.76
17. Catania,11.4,21.1,15.8,16.6,2.2,6.76
18. Sampdoria,13.3,19.9,18.3,14.2,2.5,6.75
19. Bologna,14.3,21.3,17.7,16.3,2.8,6.74
20. Bari,15.2,18.4,18.2,14.8,3,6.68
