Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. AC Milan,64,15.5,635,56.9,83.9,8,7.10
2. Inter,68,17.3,563,55.7,85.2,6.7,7.05
3. Udinese,65,14.7,727,49.6,78.6,9.7,6.97
4. Napoli,59,13.7,935,52.8,79.5,10.1,6.94
5. Chievo,38,13.4,924,48.1,74.7,12.3,6.90
6. Roma,58,15.8,829,52.0,81.5,9.2,6.89
7. Juventus,56,15.1,725,50.1,79.3,11.5,6.89
8. Lazio,55,14.8,697,51.8,81.7,7.8,6.88
9. Palermo FC,58,16.1,783,50.4,79.5,9.4,6.87
10. Genoa,45,14.2,655,50.2,78.1,10.3,6.86
11. Cagliari,45,12.8,760,49.4,75.2,10.8,6.82
12. Parma Calcio 1913,42,12.4,857,49.3,78.3,8.1,6.81
13. Fiorentina,49,14.3,705,49.3,79.6,8.5,6.77
14. Brescia,34,13.1,945,46.6,79.3,7.5,6.77
15. Cesena,39,12.2,798,46.8,76.7,9.7,6.77
16. Lecce,46,12.3,819,44.8,72.6,10.5,6.76
17. Catania,38,13.7,697,46.9,76.8,8.1,6.76
18. Sampdoria,33,12,765,48.2,76.0,8.3,6.75
19. Bologna,38,11.6,844,50.1,77.8,8.4,6.74
20. Bari,28,11.1,727,51.0,80.4,9.1,6.68
