R,Team,Left Side,Attempts from the middle,Right Side
1,Bologna,26%,56%,18%
2,Palermo FC,25%,56%,19%
3,Fiorentina,24%,60%,17%
4,Lazio,23%,58%,19%
5,Roma,23%,62%,15%
6,Sampdoria,23%,60%,17%
7,Bari,22%,56%,22%
8,Cesena,22%,57%,21%
9,Inter,21%,63%,17%
10,Brescia,21%,59%,21%
11,AC Milan,20%,62%,18%
12,Napoli,19%,60%,21%
13,Lecce,18%,68%,13%
14,Cagliari,17%,69%,14%
15,Parma Calcio 1913,17%,64%,19%
16,Genoa,17%,66%,18%
17,Catania,17%,66%,17%
18,Udinese,16%,58%,26%
19,Juventus,15%,70%,14%
20,Chievo,15%,66%,19%
