Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. AC Milan,15.5,5.8,7.2,13.7,7.10
2. Inter,17.3,5.9,10.1,13.8,7.05
3. Udinese,14.7,5.2,7.1,16.7,6.97
4. Napoli,13.7,5,6.8,14.7,6.94
5. Chievo,13.4,4.2,5.2,12.9,6.90
6. Roma,15.8,4.8,7.4,15.9,6.89
7. Juventus,15.1,4.8,7.4,14.6,6.89
8. Lazio,14.8,5,7.8,15,6.88
9. Palermo FC,16.1,5.4,6.9,12.6,6.87
10. Genoa,14.2,4.1,5.9,14,6.86
11. Cagliari,12.8,3.9,5.6,15.7,6.82
12. Parma Calcio 1913,12.4,3.9,6.7,15.7,6.81
13. Fiorentina,14.3,4.7,6,14.8,6.77
14. Brescia,13.1,4.2,7.6,15,6.77
15. Cesena,12.2,3.6,5.8,13.9,6.77
16. Lecce,12.3,4.4,6.1,11.5,6.76
17. Catania,13.7,3.8,6,17,6.76
18. Sampdoria,12,3.6,5.4,18.6,6.75
19. Bologna,11.6,3.5,5.3,16.2,6.74
20. Bari,11.1,3.4,7,12.8,6.68
